,Floor,Column,Partition,Sprinkler,Fire pump,Alarm,Ceiling
Cost ($),87720.0,45564.0,0.0,0.0,0.0,0.0,0.0
Cost multiplier,0.006473304390614401,0.0033624459593106612,0.0,0.0,0.0,0.0,0.0
