nan,,,,,,,,,,,,,,
800,0.956495156,0.940154919,0.928488985,0.792276357,,0.956481863,0.875504125,0.604630207,5.64E-05,,1,1,0.999874174,0.006837915
820,0.963528982,0.953843717,0.952294017,0.853059789,,0.963516836,0.893048162,0.642369449,9.02E-05,,1,1,0.999911487,0.008220039
840,0.969467738,0.964658153,0.968945165,0.899600501,,0.969456715,0.908377913,0.67790627,0.000140861,,1,1,0.999937659,0.009799638
860,0.974470529,0.973119868,0.980245668,0.933645743,,0.974460586,0.921713629,0.711106703,0.00021522,,1,1,0.999956035,0.011591694
880,0.978676356,0.979682462,0.987703675,0.957517669,,0.978667436,0.933267808,0.741898888,0.000322017,,1,1,0.999968951,0.013610762
900,0.982205838,0.984731066,0.992500212,0.973610728,,0.982197875,0.943241464,0.770264968,0.000472396,,1,1,0.999978041,0.015870827
920,0.985163038,0.988586157,0.995512148,0.984070325,,0.985155961,0.951821716,0.796232551,0.000680232,,1,1,0.999984445,0.01838516
940,0.987637277,0.991509839,0.997362017,0.990641219,,0.987631011,0.959180435,0.819866222,0.000962464,,1,1,0.999988965,0.021166196
960,0.989704884,0.99371327,0.998475071,0.994640551,,0.989699356,0.965473701,0.841259478,0.0013394,,1,1,0.999992158,0.024225421
980,0.991430828,0.995364342,0.999132152,0.997003993,,0.991425967,0.970841888,0.86052732,0.001834957,,1,1,0.999994418,0.027573271
1000,0.992870222,0.996594987,0.999513258,0.998362825,,0.992865959,0.97541018,0.877799673,0.002476831,,1,1,0.99999602,0.031219046
1020,0.994069672,0.997507817,0.999730701,0.999124297,,0.994065944,0.979289396,0.893215696,0.003296564,,1,1,0.999997157,0.035170847
1040,0.995068489,0.998181892,0.999852889,0.999540929,,0.995065237,0.982577004,0.906919,0.004329509,,1,1,0.999997966,0.039435513
1060,0.995899751,0.998677627,0.999920586,0.99976385,,0.995896919,0.985358239,0.919053736,0.005614675,,1,1,0.999998542,0.044018588
1080,0.996591232,0.99904084,0.999957602,0.999880662,,0.996588771,0.987707261,0.929761503,0.007194439,,1,1,0.999998953,0.048924296
1100,0.997166211,0.999306044,0.999977597,0.999940692,,0.997164077,0.989688295,0.939178974,0.009114144,,1,1,0.999999247,0.054155523
1120,0.997644171,0.999499076,0.999988276,0.999970984,,0.997642322,0.991356742,0.947436171,0.011421564,,1,1,0.999999457,0.05971383
1140,0.998041388,0.999639174,0.999993919,0.999986011,,0.998039789,0.992760212,0.954655272,0.014166265,,1,1,0.999999608,0.065599456
1160,0.998371449,0.999740586,0.999996872,0.999993349,,0.998370068,0.993939488,0.960949887,0.017398863,,1,1,0.999999716,0.07181135
